[2001]missing,,9th/10th century,Ps. 1?-2?,"Ägyptisches Museum, P. ? (Blaß Nr. IV)",Berlin,Germany
2156,,7th? century,Od. 4:8-10 fragm.,"ÖNB, P. Vindob. G 36114",Vienna,Austria
2157,,3rd/4th century,Ps. 21:20-28.31-32; 22:1-6; 23:1 fragm.,"Univ., IFC, PUG I 1",Genoa,Italy
2158,,3rd century,Ps. 1:1-2 fragm.,"Laurentian Library, PL Inv. II/34",Florence,Italy
2159,,6th/7th century,Ps. 31:9-10 fragm.,"ÖNB, P. Vindob. G 29491",Vienna,Austria
2160,,2nd century,Ps. 14:3-5,"SBO, P. Monts./II Inv. 2",Montserrat,
2161,,7th/8th century,Ps. 106:35,"UML, P. Mich. 6577",Ann Arbor,United States
2162,,3rd century,Ps. 119:7,"SBO, P. Monts./II Inv. 10",Montserrat,
2163,,7th century,Ps. 98:4-5 fragm.,"Sem. Pap., P. Palau Rib. Inv. 212v",Barcelona,Spain
2164,,6th century,Ps. 129:2-6; 140:9-10; 141:2-3 fragm.,"Ägyptisches Museum, P. 21270",Berlin,Germany
2165,,4th century,Ps. 50:3-14 fragm.,"Laurentian Library, PL Inv. II/39",Florence,Italy
2166,,4th century,Ps. 90:1-6 fragm.,"Laurentian Library, PL Inv. III/501",Florence,Italy
2167,,5th century,Ps. 148:6-13 fragm.,"Int. Pap., „G. Vitelli”, PSI Inv. 1510r",Florence,Italy
2168,,5th/6th century,Ps. 30:20-24; 43:2-6 fragm.,"Univ., IFC, PUG I 3",Genoa,Italy
2169,,4th century,148:7-8 fragm.,"Univ. S. Cuore, P. Med. Inv. 71.86c",Milan,Italy
2170,,5th century,Ps. 67:20; 92:1 fragm.,"IfA, P.Colon. Inv. 2609",Cologne,Germany
2171,,6th/7th century,Ps. 132,"BL, P. Inv. 120 (3)",London,U. Kingdom
2172,,4th/5th century,Ps. 15:4-11; 16:3-11 fragm.,"BSB, P. gr. mon. 333",Munich,Germany
